Filename,Execution Time (s),Number of Variables,Satisfiability
data_kSAT_hberens.cnf,0.008202075958251953,22,U
data_kSAT_hberens.cnf,0.017091989517211914,22,U
data_kSAT_hberens.cnf,0.021483898162841797,22,U
data_kSAT_hberens.cnf,0.04006457328796387,22,U
data_kSAT_hberens.cnf,0.021512985229492188,22,U
data_kSAT_hberens.cnf,0.03490948677062988,22,S
data_kSAT_hberens.cnf,0.0014925003051757812,22,S
data_kSAT_hberens.cnf,0.07402491569519043,24,U
data_kSAT_hberens.cnf,0.0634756088256836,24,U
data_kSAT_hberens.cnf,0.07679486274719238,24,U
data_kSAT_hberens.cnf,0.03997373580932617,24,U
data_kSAT_hberens.cnf,0.07030367851257324,24,U
data_kSAT_hberens.cnf,0.06235384941101074,24,U
data_kSAT_hberens.cnf,0.025381803512573242,24,U
data_kSAT_hberens.cnf,0.06695675849914551,24,U
data_kSAT_hberens.cnf,0.03730130195617676,24,U
data_kSAT_hberens.cnf,0.054604291915893555,24,U
data_kSAT_hberens.cnf,2.9325485229492188e-05,4,S
data_kSAT_hberens.cnf,7.43865966796875e-05,4,U
data_kSAT_hberens.cnf,5.125999450683594e-05,4,U
data_kSAT_hberens.cnf,7.534027099609375e-05,4,S
data_kSAT_hberens.cnf,2.1457672119140625e-05,4,S
data_kSAT_hberens.cnf,1.6689300537109375e-05,4,S
data_kSAT_hberens.cnf,8.606910705566406e-05,4,S
data_kSAT_hberens.cnf,2.574920654296875e-05,4,S
data_kSAT_hberens.cnf,1.8596649169921875e-05,4,S
data_kSAT_hberens.cnf,6.341934204101562e-05,4,S
data_kSAT_hberens.cnf,0.0001323223114013672,8,S
data_kSAT_hberens.cnf,0.0003008842468261719,8,S
data_kSAT_hberens.cnf,0.00015687942504882812,8,S
data_kSAT_hberens.cnf,0.0003376007080078125,8,S
data_kSAT_hberens.cnf,0.0003223419189453125,8,S
data_kSAT_hberens.cnf,0.0008602142333984375,8,U
data_kSAT_hberens.cnf,0.0008988380432128906,8,U
data_kSAT_hberens.cnf,0.00010347366333007812,8,S
data_kSAT_hberens.cnf,0.0009527206420898438,8,U
data_kSAT_hberens.cnf,0.0006797313690185547,8,U
data_kSAT_hberens.cnf,0.00046133995056152344,12,S
data_kSAT_hberens.cnf,0.002791881561279297,12,S
data_kSAT_hberens.cnf,0.0004496574401855469,12,S
data_kSAT_hberens.cnf,0.005496978759765625,12,U
data_kSAT_hberens.cnf,0.0002989768981933594,12,S
data_kSAT_hberens.cnf,0.0002593994140625,12,S
data_kSAT_hberens.cnf,0.002079486846923828,12,U
data_kSAT_hberens.cnf,0.004534482955932617,12,U
data_kSAT_hberens.cnf,0.004471540451049805,12,U
data_kSAT_hberens.cnf,0.004513263702392578,12,U
data_kSAT_hberens.cnf,0.0036420822143554688,16,S
data_kSAT_hberens.cnf,0.020798206329345703,16,U
data_kSAT_hberens.cnf,0.019687652587890625,16,U
data_kSAT_hberens.cnf,0.0018987655639648438,16,S
data_kSAT_hberens.cnf,0.011788368225097656,16,S
data_kSAT_hberens.cnf,0.026718854904174805,16,U
data_kSAT_hberens.cnf,0.03091263771057129,16,U
data_kSAT_hberens.cnf,0.02270984649658203,16,U
data_kSAT_hberens.cnf,0.0014221668243408203,16,S
data_kSAT_hberens.cnf,0.016924142837524414,16,S
data_kSAT_hberens.cnf,0.0012018680572509766,18,S
data_kSAT_hberens.cnf,0.060771942138671875,18,U
data_kSAT_hberens.cnf,0.03577470779418945,18,S
data_kSAT_hberens.cnf,0.07093620300292969,18,U
data_kSAT_hberens.cnf,0.04738759994506836,18,U
data_kSAT_hberens.cnf,0.013042211532592773,18,S
data_kSAT_hberens.cnf,0.04690098762512207,18,U
data_kSAT_hberens.cnf,0.010034561157226562,18,S
data_kSAT_hberens.cnf,0.038199663162231445,18,U
data_kSAT_hberens.cnf,0.05026054382324219,18,U
data_kSAT_hberens.cnf,0.05097770690917969,20,S
data_kSAT_hberens.cnf,0.09419417381286621,20,U
data_kSAT_hberens.cnf,0.010873794555664062,20,S
data_kSAT_hberens.cnf,0.06457185745239258,20,S
data_kSAT_hberens.cnf,0.09231305122375488,20,U
data_kSAT_hberens.cnf,0.0904853343963623,20,U
data_kSAT_hberens.cnf,0.021313905715942383,20,S
data_kSAT_hberens.cnf,0.10482978820800781,20,U
